ID;CustomerID;CompanyName;ContactName;ContactTitle;Country;Region;City;PostalCode;Address;Phone;Fax
54305;COMMI;Comércio Mineiro;Pedro Afonso;Sales Associate;Brazil;SP;Sao Paulo;05432-043;Av. dos Lusíadas, 23;(11) 555-7647;
42027;PERIC;Pericles Comidas clásicas;Guillermo Fernández;Sales Representative;Mexico;;México D.F.;5033;Calle Dr. Jorge Cash 321;(5) 552-3745;(5) 545-3745
23671;MORGK;Morgenstern Gesundkost;Alexander Feuer;Marketing Assistant;Germany;;Leipzig;4179;Heerstr. 22;0342-023176;
84239;VICTE;Victuailles en stock;Mary Saveley;Sales Agent;France;;Lyon;69004;2, rue du Commerce;78.32.54.86;78.32.54.87
83692;QUEDE;Que Delícia;Bernardo Batista;Accounting Manager;Brazil;RJ;Rio de Janeiro;02389-673;Rua da Panificadora, 12;(21) 555-4252;(21) 555-4545
37821;HILAA;HILARION-Abastos;Carlos Hernández;Sales Representative;Venezuela;Táchira;San Cristóbal;5022;Carrera 22 con Ave. Carlos Soublette #8-35;(5) 555-1340;(5) 555-1948
12281;PRINI;Princesa Isabel Vinhos;Isabel de Castro;Sales Representative;Portugal;;Lisboa;1756;Estrada da saúde n. 58;(1) 356-5634;
51161;SEVES;Seven Seas Imports;Hari Kumar;Sales Manager;UK;;London;OX15 4NB;90 Wadhurst Rd.;(171) 555-1717;(171) 555-5646
71052;BONAP;Bon app';Laurence Lebihan;Owner;France;;Marseille;13008;12, rue des Bouchers;91.24.45.40;91.24.45.41
16871;TRAIH;Trail's Head Gourmet Provisioners;Helvetius Nagy;Sales Associate;USA;WA;Kirkland;98034;722 DaVinci Blvd.;(206) 555-8257;(206) 555-2174
67357;MAISD;Maison Dewey;Catherine Dewey;Sales Agent;Belgium;;Bruxelles;B-1180;Rue Joseph-Bens 532;(02) 201 24 67;(02) 201 24 68
91962;GODOS;Godos Cocina Típica;José Pedro Freyre;Sales Manager;Spain;;Sevilla;41101;C/ Romero, 33;(95) 555 82 82;
80648;ALFKI;Alfreds Futterkiste;Maria Anders;Sales Representative;Germany;;Berlin;12209;Obere Str. 57;030-0074321;030-0076545
48514;CHOPS;Chop-suey Chinese;Yang Wang;Owner;Switzerland;;Bern;3012;Hauptstr. 29;0452-076545;
43873;ERNSH;Ernst Handel;Roland Mendel;Sales Manager;Austria;;Graz;8010;Kirchgasse 6;7675-3425;7675-3426
34909;GREAL;Great Lakes Food Market;Howard Snyder;Marketing Manager;USA;OR;Eugene;97403;2732 Baker Blvd.;(503) 555-7555;
48809;OCEAN;Océano Atlántico Ltda.;Yvonne Moncada;Sales Agent;Argentina;;Buenos Aires;1010;Ing. Gustavo Moncada 8585 Piso 20-A;(1) 135-5333;(1) 135-5535
65224;FOLIG;Folies gourmandes;Martine Rancé;Assistant Sales Agent;France;;Lille;59000;184, chaussée de Tournai;20.16.10.16;20.16.10.17
22284;GALED;Galería del gastrónomo;Eduardo Saavedra;Marketing Manager;Spain;;Barcelona;8022;Rambla de Cataluña, 23;(93) 203 4560;(93) 203 4561
83497;WANDK;Die Wandernde Kuh;Rita Müller;Sales Representative;Germany;;Stuttgart;70563;Adenauerallee 900;0711-020361;0711-035428
99114;LINOD;LINO-Delicateses;Felipe Izquierdo;Owner;Venezuela;Nueva Esparta;I. de Margarita;4980;Ave. 5 de Mayo Porlamar;(8) 34-56-12;(8) 34-93-93
91327;WHITC;White Clover Markets;Karl Jablonski;Owner;USA;WA;Seattle;98128;305 - 14th Ave. S. Suite 3B;(206) 555-4112;(206) 555-4115
41112;HUNGC;Hungry Coyote Import Store;Yoshi Latimer;Sales Representative;USA;OR;Elgin;97827;City Center Plaza 516 Main St.;(503) 555-6874;(503) 555-2376
95802;ISLAT;Island Trading;Helen Bennett;Marketing Manager;UK;Isle of Wight;Cowes;PO31 7PJ;Garden House Crowther Way;(198) 555-8888;
99029;LAUGB;Laughing Bacchus Wine Cellars;Yoshi Tannamuri;Marketing Assistant;Canada;BC;Vancouver;V3F 2K1;1900 Oak St.;(604) 555-3392;(604) 555-7293
95028;BOLID;Bólido Comidas preparadas;Martín Sommer;Owner;Spain;;Madrid;28023;C/ Araquil, 67;(91) 555 22 82;(91) 555 91 99
